vorschlagen,proponer algo,,
verschieben,posponer algo,,
einhalten,cumplir algo (promesa o termin),,
melden,avisar,,
verpassen,perder medio de transporte,,
hinzufuegen,aniadir algo,,
abschwaechen,debilitar algo,,
voraussagen,presagiar algo,,
ausrichten,orientar algo,,
fuer_schwaermen,entusiasmarse con alguien o algo,,
sich_weigern,negarse a hacer algo,,
verzeihen,perdonar a alguien,,
uebersehen,ignorar o pasar por alto algo,,
abschleppen,remolcar algo o camelarse a alguien,,
einzahlen,ingresar dinero,,
naehen,coser,,
erwachen,despertarse,,
durch-machen,trasnochar,,
anwenden,aplicar algo,,
vertiefen,profundizar en algo,,
wahr-nehmen,percibir o tener la sensacion de algo,,
verbrauchen,gastar algo,,
entsorgen,deshechar o tirar algo,,
begrenzen,restringir algo,,
belegen,demonstrar algo,,
achten_auf,fijarse en algo,,
sich_aengstigen_um,acojonarse de algo,,
an-kommen_auf,depender de algo para decision,,
an-sehen_als,mirar a alguien como,,
antworten_auf,contestar a algo,,
arbeiten_als,trabajar como,,
sich_aergern_ueber,cabrearse por algo,,
auf-passen_auf,estar atento o alerta de algo,,
sich_auf-regen_ueber,alterarse por algo,,
aus-geben_fuer,gastarse el dinero en algo,,
sich_beklagen_ueber,"lamentarse o ""llorar"" sobre algo",,
sich_bemuehen_um,esforzarse por algo o alguien,,
berichten_ueber,contar con algo,,
sich_beschweren_ueber,quejarse sobre algo,,
sich_bewerben_um,aplicar para un trabajo,,
sparen,ahorrar,,
sich_bezeichnen_als,autocalificarse como,,
bitten_um,pedir algo,,
danken_fuer,agradecer por algo,,
denken_an,pensar en alguien,,
sich_eignen_fuer,servir o prestarse a algo,,
sich_einigen_auf,ponerse de acuerdo en,,
sich_entscheiden_fuer,decidirse por algo,,
sich_entschuldigen_fuer,disculparse por algo,,
sich_erinnern_an,acordarse de algo o alguien,,
sich_freuen_auf,alegrarse por alguien,,
sich_freuen_ueber,alegrarse por algo,,
es_geht_um,el rollo va de algo,,
gelten_als,ser considerado como algo,,
geraten_in,acabar enfrentandose a,,
glauben_an,creer en algo,,
sich_handeln_um,"tratarse, ser una cuestion de algo o de alguien",,
hoffen_auf,tener esperanza en algo o alguien,,
sich_informieren_ueber,informarse de algo ,,
sich_interessieren_fuer,estar interesado en algo,,
kaempfen_fuer,luchar por algo (idea),,
kaempfen_gegen,luchar contra algo o alguien,,
kaempfen_um,luchar por alguien,,
lachen_ueber,reirse de algo o alguien,,
nach-denken_ueber,meditar algo con tiempo,,
protestieren_gegen,protestar contra algo o alg (amotinar),,
schiessen_auf,disparar a alguien,,
schreiben_an,escribir a alguien,,
sorgen_fur,cuidar de algo o alguien,,
sich_sorgen_um,inquietarse por algo o alguien,,
geld_spielen_um,gamble,,
sprechen_ueber,hablar de algo ,,
stimmen_fuer,inclinarse o votar por alguien o algo,,
stimmen_gegen,inclinarse o votar en contra de alguien o algo,,
sich_streiten_um,pelearse por algo,,
verfuegen_ueber,disponer de algo,,
sich_verlassen_auf,fiarse de algo o alguien,,
sich_verlieben_in,enamorarse de alguien,,
