Akkusativ,,Dativ,
Heben,alzar algo,zu_gelegen,estar orientado hacia o dar a 
abziehen,descontar o reducir,Heben_von,aumentar a algo o alguien
Vor-liegen,existir,zum_orientiert,aumentar a algo o alguien
enthalten,incluir,aus_stammen,proceden de algo
sichenthalten,abstenerse,,
umgrenzen,delimitar,,
fliesen,pavimentar,,
