date,type of word,number of words,fraction of right ansers,percentage of right answers
2016-01-04 13:00:03.616428,Verben,296,0.0608,6.0811
2016-01-04 14:57:37.197222,Namen,182,0.1813,18.1318
2016-01-04 16:49:05.007880,Adjektiv adverbien und ausdruecke,114,0.2105,21.0526
