Adjektiven,
Helle ,Brightness
Gehoben,Alta o alzada
hochWertig,de alta calidad
gewerblich,comercial o industrial
Sonstiges,adicionales
aussagekraeftig,de valor informativo
endgueltigen,final
geeignet,adecuado
Gepflegt,cuidado
berühmt,clasico o celebre
Verkehrstechnisch,metodo de transporte
fußläufig,accesible a pie
